City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,codrington,-38.2667,141.9667,9.18,68,58,7.28,AU,1686261490
84,cockburn town,21.4612,-71.1419,28.37,77,56,0.92,TC,1686261490
85,nueva gerona,21.8833,-82.8,30.91,61,48,5.22,CU,1686261491
86,sur,22.5667,59.5289,34.24,34,45,3.64,OM,1686261491
87,saint-philippe,-21.3585,55.7679,21.77,77,48,3.71,RE,1686261218
88,ca mau,9.1769,105.15,26.09,86,100,1.84,VN,1686261491
89,puerto lleras,3.0223,-73.4044,24.4,93,90,0.63,CO,1686261492
90,port elizabeth,-33.918,25.5701,18.39,77,0,1.54,ZA,1686261492
91,broken hill,-31.95,141.4333,9.69,69,27,4.84,AU,1686261492
92,atafu village,-8.5421,-172.5159,28.52,76,30,5.99,TK,1686261492
93,prince rupert,54.3161,-130.3201,19.05,62,75,4.12,CA,1686261309
94,vernon,50.2581,-119.2691,35.52,16,75,2.57,CA,1686261244
95,saldanha,-33.0117,17.9442,14.03,90,87,4.05,ZA,1686261493
96,esil,51.9556,66.4042,16.69,59,94,2.88,KZ,1686261493
97,sisimiut,66.9395,-53.6735,1.99,68,51,2.0,GL,1686261493
98,moyale,3.5167,39.0584,20.48,75,100,4.23,KE,1686261493
99,qaqortoq,60.7167,-46.0333,4.34,67,54,4.46,GL,1686261484
100,rio grande,-32.035,-52.0986,21.06,82,5,3.63,BR,1686261332
101,stanley,54.868,-1.6985,10.39,78,75,2.57,GB,1686261494
102,salaqi,40.5414,110.5108,18.16,31,2,2.9,CN,1686261494
103,el bauga,18.262,33.9081,34.59,25,99,3.77,SD,1686261494
104,ketchikan,55.3422,-131.6461,20.26,45,0,8.23,US,1686261494
105,hawaiian paradise park,19.5933,-154.9731,28.35,72,100,0.0,US,1686261494
106,iqaluit,63.7506,-68.5145,4.85,75,75,3.09,CA,1686261495
107,ivins,37.1686,-113.6794,29.98,18,57,3.13,US,1686261495
108,flying fish cove,-10.4217,105.6791,24.82,94,100,5.66,CX,1686261495
109,grand falls-windsor,48.9332,-55.6649,15.84,72,54,2.24,CA,1686261495
110,hachinohe,40.5,141.5,15.58,96,100,4.17,JP,1686261495
111,west island,-12.1568,96.8225,25.99,89,75,9.26,CC,1686261495
112,abadeh,31.1608,52.6506,15.79,65,18,1.38,IR,1686261496
113,puerto ayora,-0.7393,-90.3518,29.98,84,62,4.47,EC,1686261496
114,nikel,69.4128,30.222,3.1,74,99,7.42,RU,1686261496
115,cole harbour,44.6724,-63.4751,15.1,85,30,4.47,CA,1686261496
116,nouadhibou,20.931,-17.0347,22.99,88,20,5.66,MR,1686261460
117,hwange,-18.3693,26.5019,19.31,55,39,0.55,ZW,1686261497
118,la passe,45.5549,-0.8967,24.13,84,99,3.13,FR,1686261497
119,longyearbyen,78.2186,15.6401,1.91,69,75,4.63,SJ,1686261497
120,chishmy,54.5765,55.3764,10.13,87,3,2.38,RU,1686261497
121,nar'yan-mar,67.6713,53.087,5.19,86,99,2.89,RU,1686261497
122,ancud,-41.8697,-73.8203,7.87,66,75,7.55,CL,1686261497
123,bubaque,11.2833,-15.8333,27.39,74,75,7.68,GW,1686261498
124,timbuktu,16.7735,-3.0074,34.97,10,0,3.81,ML,1686261498
125,altai,46.3722,96.2583,15.02,28,0,1.08,MN,1686261498
126,badger,64.8,-147.5333,21.95,52,75,2.57,US,1686261498
127,bandarbeyla,9.4942,50.8122,26.93,79,85,12.12,SO,1686261498
